Date,State,TotalSamples,Negative,Positive
2020-02-17,Kerala,423.0,406.0,3.0
2020-02-18,Kerala,425.0,420.0,3.0
2020-02-19,Kerala,432.0,423.0,3.0
2020-02-20,Kerala,433.0,423.0,3.0
2020-02-21,Kerala,437.0,426.0,3.0
2020-02-22,Kerala,441.0,436.0,3.0
2020-02-23,Kerala,444.0,436.0,3.0
2020-02-24,Kerala,449.0,441.0,3.0
2020-02-25,Kerala,451.0,446.0,3.0
2020-02-26,Kerala,460.0,451.0,3.0
2020-02-27,Kerala,462.0,451.0,3.0
2020-02-28,Kerala,471.0,463.0,3.0
2020-02-29,Kerala,485.0,471.0,3.0
2020-03-01,Kerala,488.0,471.0,3.0
2020-03-01,Tamil Nadu,49.0,49.0,0.0
2020-03-02,Kerala,504.0,493.0,3.0
2020-03-02,Tamil Nadu,50.0,50.0,0.0
2020-03-03,Kerala,520.0,494.0,3.0
2020-03-03,Tamil Nadu,50.0,50.0,0.0
2020-03-04,Kerala,552.0,511.0,3.0
2020-03-04,Tamil Nadu,54.0,54.0,0.0
2020-03-05,Kerala,574.0,535.0,3.0
2020-03-05,Tamil Nadu,54.0,54.0,0.0
2020-03-06,Kerala,631.0,579.0,3.0
2020-03-06,Tamil Nadu,56.0,54.0,0.0
2020-03-07,Kerala,682.0,616.0,3.0
2020-03-07,Tamil Nadu,60.0,56.0,1.0
2020-03-08,Kerala,729.0,664.0,8.0
2020-03-08,Tamil Nadu,68.0,59.0,1.0
2020-03-09,Kerala,807.0,717.0,9.0
2020-03-09,Tamil Nadu,72.0,69.0,1.0
2020-03-10,Kerala,980.0,815.0,17.0
2020-03-10,Tamil Nadu,74.0,69.0,1.0
2020-03-11,Kerala,1179.0,889.0,17.0
2020-03-11,Tamil Nadu,75.0,73.0,1.0
2020-03-12,Kerala,1377.0,953.0,19.0
2020-03-12,Tamil Nadu,76.0,73.0,1.0
2020-03-13,Karnataka,639.0,540.0,6.0
2020-03-13,Kerala,1715.0,1132.0,22.0
2020-03-13,Tamil Nadu,77.0,76.0,1.0
2020-03-14,Karnataka,731.0,590.0,6.0
2020-03-14,Kerala,1897.0,1345.0,22.0
2020-03-14,Tamil Nadu,79.0,76.0,1.0
2020-03-15,Karnataka,862.0,609.0,6.0
2020-03-15,Kerala,2147.0,1514.0,24.0
2020-03-15,Tamil Nadu,88.0,85.0,1.0
2020-03-16,Karnataka,895.0,695.0,7.0
2020-03-16,Kerala,2297.0,1693.0,27.0
2020-03-16,Tamil Nadu,98.0,95.0,1.0
2020-03-17,Karnataka,943.0,766.0,11.0
2020-03-17,Kerala,2467.0,1807.0,27.0
2020-03-17,Tamil Nadu,140.0,138.0,1.0
2020-03-18,Karnataka,1068.0,869.0,14.0
2020-03-18,Kerala,2550.0,2140.0,27.0
2020-03-18,Tamil Nadu,222.0,166.0,2.0
2020-03-19,Karnataka,1143.0,915.0,15.0
2020-03-19,Kerala,2921.0,2342.0,28.0
2020-03-19,Tamil Nadu,320.0,232.0,3.0
2020-03-20,Karnataka,1207.0,970.0,15.0
2020-03-20,Kerala,3436.0,2393.0,40.0
2020-03-20,Tamil Nadu,333.0,303.0,3.0
2020-03-21,Karnataka,1377.0,996.0,20.0
2020-03-21,Kerala,3716.0,2566.0,52.0
2020-03-21,Tamil Nadu,412.0,339.0,6.0
2020-03-22,Karnataka,1387.0,1108.0,26.0
2020-03-22,Kerala,4035.0,2744.0,67.0
2020-03-22,Tamil Nadu,443.0,359.0,7.0
2020-03-23,Karnataka,1477.0,1153.0,33.0
2020-03-23,Kerala,4291.0,2987.0,95.0
2020-03-23,Tamil Nadu,552.0,503.0,9.0
2020-03-24,Karnataka,1637.0,1196.0,41.0
2020-03-24,Kerala,4516.0,3331.0,109.0
2020-03-24,Tamil Nadu,743.0,608.0,15.0
2020-03-25,Karnataka,2438.0,2242.0,51.0
2020-03-25,Kerala,4902.0,3465.0,118.0
2020-03-25,Tamil Nadu,890.0,757.0,23.0
2020-03-26,Karnataka,2731.0,2432.0,55.0
2020-03-26,Kerala,5342.0,3768.0,137.0
2020-03-26,Tamil Nadu,1039.0,933.0,26.0
2020-03-27,Karnataka,2838.0,2563.0,64.0
2020-03-27,Kerala,5679.0,4448.0,176.0
2020-03-27,Tamil Nadu,1243.0,1157.0,38.0
2020-03-28,Delhi,1787.0,1297.0,49.0
2020-03-28,Karnataka,3076.0,2763.0,76.0
2020-03-28,Kerala,6067.0,5276.0,182.0
2020-03-28,Tamil Nadu,1500.0,1393.0,42.0
2020-03-29,Delhi,2049.0,1608.0,72.0
2020-03-29,Karnataka,3170.0,2874.0,83.0
2020-03-29,Kerala,6690.0,5518.0,202.0
2020-03-29,Tamil Nadu,1763.0,1682.0,50.0
2020-03-30,Delhi,2168.0,1749.0,97.0
2020-03-30,Karnataka,3243.0,3025.0,88.0
2020-03-30,Kerala,6991.0,6034.0,234.0
2020-03-30,Tamil Nadu,2040.0,1853.0,67.0
2020-03-31,Delhi,2315.0,1929.0,120.0
2020-03-31,Karnataka,3535.0,3297.0,101.0
2020-03-31,Kerala,7485.0,6381.0,241.0
2020-03-31,Tamil Nadu,2354.0,,124.0
2020-04-01,Andhra Pradesh,1313.0,1226.0,87.0
2020-04-01,Delhi,2621.0,2299.0,152.0
2020-04-01,Karnataka,3799.0,3479.0,110.0
2020-04-01,Kerala,7965.0,7256.0,265.0
2020-04-01,Madhya Pradesh,1328.0,745.0,86.0
2020-04-01,Odisha,610.0,606.0,4.0
2020-04-01,Punjab,1260.0,1149.0,46.0
2020-04-01,Tamil Nadu,2726.0,,234.0
2020-04-02,Andhra Pradesh,1800.0,1175.0,132.0
2020-04-02,Chandigarh,124.0,98.0,18.0
2020-04-02,Delhi,3120.0,2452.0,293.0
2020-04-02,Karnataka,4181.0,3910.0,124.0
2020-04-02,Kerala,8456.0,7622.0,286.0
2020-04-02,Madhya Pradesh,1455.0,1086.0,107.0
2020-04-02,Odisha,900.0,895.0,5.0
2020-04-02,Punjab,1434.0,1236.0,47.0
2020-04-02,Tamil Nadu,3272.0,2559.0,309.0
2020-04-03,Delhi,3273.0,2578.0,399.0
2020-04-03,Jammu and Kashmir,1218.0,,75.0
2020-04-03,Karnataka,4587.0,4281.0,128.0
2020-04-03,Kerala,9139.0,8126.0,295.0
2020-04-03,Madhya Pradesh,2093.0,1455.0,154.0
2020-04-03,Odisha,1113.0,1107.0,6.0
2020-04-03,Punjab,1585.0,1381.0,53.0
2020-04-03,Tamil Nadu,3684.0,2789.0,411.0
2020-04-04,Bihar,2629.0,1666.0,31.0
2020-04-04,Delhi,3694.0,2954.0,445.0
2020-04-04,Jammu and Kashmir,1397.0,1250.0,92.0
2020-04-04,Karnataka,5061.0,4566.0,144.0
2020-04-04,Kerala,9744.0,8586.0,306.0
2020-04-04,Madhya Pradesh,2424.0,1757.0,179.0
2020-04-04,Maharashtra,14503.0,13717.0,635.0
2020-04-04,Odisha,1395.0,1375.0,20.0
2020-04-04,Punjab,1824.0,1520.0,65.0
2020-04-04,Tamil Nadu,4248.0,3356.0,485.0
2020-04-05,Bihar,3037.0,2299.0,32.0
2020-04-05,Delhi,6567.0,5398.0,502.0
2020-04-05,Gujarat,2568.0,2418.0,128.0
2020-04-05,Jammu and Kashmir,1551.0,1429.0,106.0
2020-04-05,Karnataka,5543.0,5037.0,151.0
2020-04-05,Kerala,10221.0,9300.0,314.0
2020-04-05,Madhya Pradesh,2812.0,1954.0,193.0
2020-04-05,Maharashtra,16008.0,14837.0,748.0
2020-04-05,Odisha,1699.0,1676.0,23.0
2020-04-05,Punjab,2208.0,1711.0,68.0
2020-04-05,Rajasthan,12279.0,11439.0,260.0
2020-04-05,Tamil Nadu,4612.0,3702.0,571.0
2020-04-06,Bihar,3545.0,2758.0,32.0
2020-04-06,Delhi,8464.0,6711.0,525.0
2020-04-06,Gujarat,2879.0,2701.0,146.0
2020-04-06,Jammu and Kashmir,1708.0,1583.0,109.0
2020-04-06,Karnataka,5958.0,5503.0,163.0
2020-04-06,Kerala,10716.0,9607.0,327.0
2020-04-06,Madhya Pradesh,3323.0,2530.0,256.0
2020-04-06,Maharashtra,17563.0,15808.0,868.0
2020-04-06,Odisha,1888.0,1849.0,39.0
2020-04-06,Punjab,2384.0,1994.0,79.0
2020-04-06,Tamil Nadu,5015.0,4099.0,621.0
2020-04-07,Bihar,4062.0,3476.0,32.0
2020-04-07,Delhi,9041.0,7308.0,576.0
2020-04-07,Gujarat,3552.0,3257.0,175.0
2020-04-07,Jammu and Kashmir,1900.0,1763.0,125.0
2020-04-07,Karnataka,6580.0,5942.0,175.0
2020-04-07,Kerala,11232.0,10250.0,336.0
2020-04-07,Madhya Pradesh,3770.0,3125.0,290.0
2020-04-07,Maharashtra,20877.0,19290.0,1018.0
2020-04-07,Odisha,2210.0,2168.0,42.0
2020-04-07,Punjab,2559.0,2204.0,99.0
2020-04-07,Tamil Nadu,5305.0,4414.0,690.0
2020-04-08,Bihar,4596.0,4093.0,38.0
2020-04-08,Chandigarh,184.0,162.0,18.0
2020-04-08,Delhi,9332.0,7897.0,588.0
2020-04-08,Gujarat,4224.0,3905.0,186.0
2020-04-08,Jammu and Kashmir,2269.0,2116.0,139.0
2020-04-08,Karnataka,6967.0,6473.0,181.0
2020-04-08,Kerala,11986.0,10906.0,345.0
2020-04-08,Madhya Pradesh,4056.0,3442.0,341.0
2020-04-08,Maharashtra,27090.0,25753.0,1135.0
2020-04-08,Odisha,2441.0,2399.0,42.0
2020-04-08,Punjab,2937.0,2614.0,106.0
2020-04-08,Rajasthan,17638.0,16401.0,363.0
2020-04-08,Tamil Nadu,6095.0,4893.0,738.0
2020-04-09,Andhra Pradesh,5960.0,5597.0,363.0
2020-04-09,Bihar,4991.0,4554.0,43.0
2020-04-09,Chandigarh,199.0,169.0,18.0
2020-04-09,Delhi,9968.0,8643.0,720.0
2020-04-09,Gujarat,6199.0,5579.0,262.0
2020-04-09,Jammu and Kashmir,2649.0,2465.0,184.0
2020-04-09,Karnataka,7613.0,7176.0,197.0
2020-04-09,Kerala,12710.0,11469.0,357.0
2020-04-09,Madhya Pradesh,5135.0,3989.0,411.0
2020-04-09,Odisha,2841.0,2797.0,44.0
2020-04-09,Punjab,3192.0,2777.0,130.0
2020-04-09,Rajasthan,19107.0,17851.0,430.0
2020-04-09,Tamil Nadu,7267.0,5948.0,834.0
2020-04-09,Uttar Pradesh,8402.0,7898.0,410.0
2020-04-10,Andhra Pradesh,6374.0,5993.0,381.0
2020-04-10,Bihar,5457.0,4724.0,60.0
2020-04-10,Chandigarh,223.0,199.0,19.0
2020-04-10,Delhi,11061.0,9662.0,903.0
2020-04-10,Gujarat,7718.0,7237.0,378.0
2020-04-10,Jammu and Kashmir,2961.0,2754.0,207.0
2020-04-10,Karnataka,7975.0,7673.0,207.0
2020-04-10,Kerala,13339.0,12335.0,364.0
2020-04-10,Madhya Pradesh,7049.0,4840.0,451.0
2020-04-10,Maharashtra,30000.0,28865.0,1135.0
2020-04-10,Odisha,3249.0,3201.0,48.0
2020-04-10,Punjab,3461.0,2972.0,151.0
2020-04-10,Rajasthan,22324.0,20673.0,520.0
2020-04-10,Tamil Nadu,8410.0,6838.0,911.0
2020-04-10,Uttar Pradesh,9332.0,8798.0,433.0
2020-04-11,Andhra Pradesh,6958.0,6553.0,405.0
2020-04-11,Bihar,6111.0,5398.0,60.0
2020-04-11,Chandigarh,264.0,223.0,19.0
2020-04-11,Delhi,11709.0,10218.0,1069.0
2020-04-11,Gujarat,9763.0,8888.0,468.0
2020-04-11,Jammu and Kashmir,3206.0,2982.0,224.0
2020-04-11,Karnataka,8560.0,8231.0,215.0
2020-04-11,Kerala,14163.0,12818.0,373.0
2020-04-11,Madhya Pradesh,8516.0,5790.0,529.0
2020-04-11,Maharashtra,31841.0,30477.0,1364.0
2020-04-11,Odisha,3547.0,3497.0,50.0
2020-04-11,Punjab,3909.0,3249.0,158.0
2020-04-11,Rajasthan,24857.0,22593.0,678.0
2020-04-11,Tamil Nadu,9842.0,7779.0,969.0
2020-04-11,Uttar Pradesh,10595.0,10012.0,452.0
2020-04-12,Andhra Pradesh,7889.0,7469.0,420.0
2020-04-12,Bihar,6703.0,6021.0,64.0
2020-04-12,Chandigarh,279.0,247.0,21.0
2020-04-12,Delhi,14036.0,11748.0,1154.0
2020-04-12,Gujarat,11715.0,10867.0,516.0
2020-04-12,Jammu and Kashmir,3600.0,3355.0,245.0
2020-04-12,Karnataka,9251.0,8831.0,232.0
2020-04-12,Kerala,14989.0,13802.0,375.0
2020-04-12,Madhya Pradesh,10481.0,6875.0,562.0
2020-04-12,Maharashtra,35668.0,34094.0,1574.0
2020-04-12,Odisha,3862.0,3808.0,54.0
2020-04-12,Punjab,4281.0,3590.0,170.0
2020-04-12,Rajasthan,28505.0,25150.0,796.0
2020-04-12,Tamil Nadu,10655.0,8373.0,1075.0
2020-04-12,Uttar Pradesh,11855.0,11250.0,483.0
2020-04-13,Andhra Pradesh,8755.0,8316.0,439.0
2020-04-13,Bihar,7199.0,6723.0,64.0
2020-04-13,Chandigarh,296.0,263.0,21.0
2020-04-13,Delhi,15032.0,12283.0,1510.0
2020-04-13,Gujarat,14251.0,12970.0,572.0
2020-04-13,Jammu and Kashmir,4065.0,3795.0,270.0
2020-04-13,Karnataka,11472.0,9572.0,247.0
2020-04-13,Kerala,15683.0,14829.0,378.0
2020-04-13,Madhya Pradesh,,,
2020-04-13,Maharashtra,39725.0,37964.0,1761.0
2020-04-13,Odisha,4170.0,4115.0,55.0
2020-04-13,Punjab,4480.0,3858.0,176.0
2020-04-13,Rajasthan,31804.0,28657.0,847.0
