fips,Long,Lat
23029,-67.6361,45.0363
13191,-81.2646,31.5329
13179,-81.2103,31.7093
60040,-171.0459,-11.0843
60020,-169.506,-14.2219
60050,-170.7691,-14.3241
60010,-170.6596,-14.2763
72011,-67.1221,18.287
72015,-66.0563,17.9982
72017,-66.5605,18.4454
72019,-66.3099,18.2017
72021,-66.1684,18.3497
72025,-66.0508,18.2119
72029,-65.8879,18.3288
72035,-66.1495,18.1029
72037,-65.6678,18.2526
72039,-66.5164,18.2889
72041,-66.1611,18.1737
72043,-66.3601,18.0972
72045,-66.2219,18.2248
72047,-66.3279,18.3043
72054,-66.5601,18.3735
72055,-66.9198,17.9827
72057,-66.1336,18.0077
72059,-66.7916,18.0406
72061,-66.1145,18.3442
72063,-65.9791,18.2663
72065,-66.7964,18.4106
72067,-67.114,18.1341
72097,-67.337,18.1716
72103,-65.7542,18.2306
72073,-66.5885,18.2106
72075,-66.4951,18.0507
72077,-65.9089,18.2236
72079,-67.0404,18.0123
72081,-66.8669,18.2689
72085,-65.8693,18.1876
72091,-66.4902,18.4204
72093,-66.9424,18.1721
72095,-65.9219,18.018
72099,-67.0808,18.3779
72101,-66.4202,18.3171
72105,-66.2526,18.2884
72107,-66.4339,18.2149
72109,-66.0122,18.0317
72111,-66.7211,18.0608
72113,-66.6141,18.0597
72121,-66.9435,18.083
72123,-66.2564,18.0115
72125,-67.0385,18.1111
72127,-66.0607,18.3864
72129,-65.9764,18.148
72133,-66.3889,17.995
72139,-65.9992,18.3362
72141,-66.7024,18.271
72143,-66.3372,18.4093
72149,-66.4729,18.128
72151,-65.8965,18.0706
72153,-66.8586,18.0801
72131,-66.9712,18.3288
72001,-66.7542,18.1798
72007,-66.1268,18.2517
72009,-66.2644,18.1311
78010,-64.7677,17.7333
72013,-66.6752,18.4068
72083,-66.9835,18.2371
72117,-67.2414,18.3374
72005,-67.1207,18.4597
72071,-67.0052,18.4499
72027,-66.8602,18.4188
72051,-66.2787,18.4365
72135,-66.2464,18.3626
72003,-67.1748,18.3603
72049,-65.2877,18.3159
72023,-67.1537,18.0415
72053,-65.6686,18.3176
72147,-65.4414,18.1231
72031,-65.9567,18.3742
78030,-64.9302,18.3453
72115,-66.926,18.4397
72033,-66.144,18.4374
72089,-65.7249,18.3422
72069,-65.8105,18.1452
78020,-64.7385,18.339
72119,-65.8202,18.3553
72087,-65.9247,18.434
66010,144.7749,13.4419
69085,145.6922,17.9725
69110,145.7523,15.1889
69100,145.2127,14.1558
69120,145.6241,15.0014
09003,-72.7328,41.8064
09013,-72.3365,41.855
09015,-71.9875,41.8299
25019,-70.0744,41.2781
24023,-79.2739,39.5286
50027,-72.5855,43.5798
33019,-72.2223,43.3612
33001,-71.4233,43.5188
33005,-72.2512,42.9193
33017,-71.0293,43.2975
36123,-77.1055,42.6335
36003,-78.0276,42.2574
36007,-75.8196,42.1602
36009,-78.6789,42.2486
36015,-76.76,42.1413
36017,-75.6115,42.4936
36023,-76.0702,42.595
36025,-74.9664,42.1982
36037,-78.1936,43.001
36041,-74.4974,43.6611
36049,-75.4488,43.7847
36051,-77.7754,42.728
36053,-75.6697,42.9129
36057,-74.4397,42.9023
36067,-76.1946,43.0058
36069,-77.2998,42.8529
36071,-74.3056,41.4022
36077,-75.0326,42.6338
36079,-73.7495,41.4267
36087,-74.0241,41.1529
36095,-74.4421,42.5882
36097,-76.8752,42.3938
36099,-76.8237,42.781
36101,-77.3838,42.2678
36105,-74.7681,41.7164
36107,-76.3063,42.1703
36109,-76.4737,42.452
36121,-78.2245,42.7023
42001,-77.2179,39.8715
42003,-79.9812,40.4688
42005,-79.4645,40.8125
42007,-80.3493,40.6823
42009,-78.4902,40.0066
42013,-78.3486,40.4813
42015,-76.5157,41.7886
42019,-79.913,40.9117
42021,-78.7136,40.4954
42023,-78.2038,41.4368
42031,-79.421,41.1925
42033,-78.4741,41.0002
42037,-76.4052,41.0486
42039,-80.1063,41.6848
42041,-77.2651,40.1637
42043,-76.7793,40.4155
42047,-78.6492,41.4252
42053,-79.2361,41.5132
42055,-77.7212,39.9275
42057,-78.1124,39.9255
42059,-80.2229,39.8538
42061,-77.9812,40.417
42063,-79.0875,40.6521
42065,-78.9995,41.1281
42067,-77.402,40.5311
42069,-75.6092,41.437
42071,-76.2477,40.0424
42073,-80.3342,40.9912
42075,-76.4577,40.3672
42079,-75.9889,41.1771
42083,-78.569,41.8078
42085,-80.2577,41.3022
42087,-77.6171,40.6104
42093,-76.6586,41.028
42099,-77.2622,40.3984
42103,-75.0338,41.3321
42105,-77.8958,41.745
42107,-76.216,40.7059
42109,-77.0701,40.77
42111,-79.0283,39.9725
42113,-76.5119,41.446
42115,-75.8008,41.8214
42117,-77.2543,41.7721
42119,-77.0621,40.963
42121,-79.758,41.401
42123,-79.2741,41.8147
42125,-80.2482,40.1894
42131,-76.0165,41.5184
42133,-76.7265,39.9199
44005,-71.2366,41.556
51141,-80.2843,36.6784
51143,-79.3971,36.8213
51155,-80.7143,37.0636
51161,-80.0679,37.2693
51163,-79.4475,37.8146
51167,-82.0956,36.9338
51169,-82.603,36.7142
51173,-81.537,36.8439
51185,-81.5606,37.125
51191,-81.9596,36.7245
51195,-82.6212,36.9752
51197,-81.0786,36.9171
51005,-80.007,37.7876
51035,-80.7339,36.7316
51031,-79.0963,37.2056
51089,-79.8739,36.6828
51121,-80.3869,37.174
51083,-78.9367,36.767
51077,-81.225,36.6566
51071,-80.7037,37.3141
51067,-79.881,36.9919
51063,-80.3626,36.9315
51051,-82.3503,37.1258
51045,-80.2123,37.4813
51037,-78.6616,37.0116
51029,-78.5287,37.5722
51027,-82.036,37.2666
51023,-79.8123,37.5571
51021,-81.1302,37.134
51019,-79.5242,37.3152
51017,-79.7411,38.0587
51011,-78.8121,37.3722
51009,-79.1451,37.6048
51105,-83.1285,36.7055
50015,-72.6414,44.6057
50017,-72.3769,44.0056
50003,-73.0929,43.0355
50019,-72.2438,44.8288
50023,-72.6149,44.2734
50013,-73.2948,44.7968
54081,-81.2486,37.7714
54079,-81.909,38.5086
54077,-79.6681,39.4693
54075,-80.0077,38.3318
54073,-81.1606,39.3709
54069,-80.6189,40.0969
54067,-80.7993,38.2917
54063,-80.5505,37.5604
54061,-80.0465,39.6303
54059,-82.1346,37.7264
54055,-81.1114,37.4055
54053,-82.0265,38.7697
54051,-80.6634,39.8606
54049,-80.2434,39.51
54047,-81.6536,37.3785
54045,-81.9353,37.8316
54043,-82.0705,38.1753
54039,-81.5281,38.3365
54035,-81.6748,38.8344
54029,-80.5739,40.5213
54025,-80.4529,37.9469
54083,-79.8758,38.7748
54021,-80.8571,38.9241
54019,-81.0811,38.0288
54015,-81.0751,38.4626
54013,-81.1175,38.8445
54011,-82.2417,38.4203
54009,-80.5765,40.2733
54007,-80.7193,38.6998
54005,-81.7113,38.0231
54103,-80.6391,39.6053
54105,-81.3786,39.0224
54107,-81.515,39.2111
54109,-81.5491,37.6096
54001,-80.003,39.1329
54091,-80.0461,39.336
54101,-80.4219,38.4947
54099,-82.427,38.1461
54097,-80.2334,38.8978
54095,-80.8849,39.4653
54093,-79.565,39.1136
54089,-80.8586,37.6559
54087,-81.3483,38.714
54085,-81.0629,39.1783
42097,-76.7091,40.852
23001,-70.2045,44.1654
34017,-74.0825,40.7068
36085,-74.1557,40.5802
34013,-74.1293,40.69
36085,-74.1343,40.6435
34017,-74.0778,40.7409
34003,-73.9344,40.9001
36119,-73.8998,40.9601
36005,-73.8669,40.8527
36061,-73.9689,40.7786
36005,-73.8707,40.825
44001,-71.2842,41.7161
25007,-70.6561,41.3966
36063,-78.7427,43.2011
36117,-77.0292,43.1566
36075,-76.1412,43.4261
36073,-78.2312,43.2522
36055,-77.6958,43.1464
23013,-69.173,44.15
23023,-69.8613,43.9705
23015,-69.5431,44.0752
33013,-71.6802,43.2977
34039,-74.1597,40.6572
42051,-79.6474,39.9198
42129,-79.4668,40.3107
25017,-71.3918,42.4855
09009,-72.9324,41.4108
09005,-73.2453,41.7925
25027,-71.9077,42.3514
25003,-73.2064,42.3706
25011,-72.5919,42.5831
25015,-72.6638,42.3401
25021,-71.2248,42.155
23021,-69.2835,45.838
23025,-69.9582,45.5138
23003,-68.5988,46.6588
23017,-70.7555,44.499
23019,-68.6494,45.4006
33003,-71.2028,43.8739
33011,-71.716,42.9153
34031,-74.3003,41.0337
36119,-73.7553,41.1643
36115,-73.4307,43.3137
