ObservationDate,Province/State,Recovered
2020-01-22,Alabama,0.0
2020-01-23,Alabama,0.0
2020-01-24,Alabama,0.0
2020-01-25,Alabama,0.0
2020-01-26,Alabama,0.0
2020-01-27,Alabama,0.0
2020-01-28,Alabama,0.0
2020-01-29,Alabama,0.0
2020-01-30,Alabama,0.0
2020-01-31,Alabama,0.0
2020-02-01,Alabama,0.0
2020-02-02,Alabama,0.0
2020-02-03,Alabama,0.0
2020-02-04,Alabama,0.0
2020-02-05,Alabama,0.0
2020-02-06,Alabama,0.0
2020-02-07,Alabama,0.0
2020-02-08,Alabama,0.0
2020-02-09,Alabama,0.0
2020-02-10,Alabama,0.0
2020-02-11,Alabama,0.0
2020-02-12,Alabama,0.0
2020-02-13,Alabama,0.0
2020-02-14,Alabama,0.0
2020-02-15,Alabama,0.0
2020-02-16,Alabama,0.0
2020-02-17,Alabama,0.0
2020-02-18,Alabama,0.0
2020-02-19,Alabama,0.0
2020-02-20,Alabama,0.0
2020-02-21,Alabama,0.0
2020-02-22,Alabama,0.0
2020-02-23,Alabama,0.0
2020-02-24,Alabama,0.0
2020-02-25,Alabama,0.0
2020-02-26,Alabama,0.0
2020-02-27,Alabama,0.0
2020-02-28,Alabama,0.0
2020-02-29,Alabama,0.0
2020-03-01,Alabama,0.0
2020-03-02,Alabama,0.0
2020-03-03,Alabama,0.0
2020-03-04,Alabama,0.0
2020-03-05,Alabama,0.0
2020-03-06,Alabama,0.0
2020-03-07,Alabama,0.0
2020-03-08,Alabama,0.0
2020-03-09,Alabama,0.0
2020-03-10,Alabama,0.0
2020-03-11,Alabama,0.0
2020-03-12,Alabama,0.0
2020-03-13,Alabama,0.0
2020-03-14,Alabama,0.0
2020-03-15,Alabama,0.0
2020-03-16,Alabama,0.0
2020-03-17,Alabama,0.0
2020-03-18,Alabama,0.0
2020-03-19,Alabama,5.0
2020-03-20,Alabama,3.0
2020-03-21,Alabama,7.0
2020-03-22,Alabama,9.0
2020-03-23,Alabama,13.0
2020-03-24,Alabama,16.0
2020-03-25,Alabama,27.0
2020-03-26,Alabama,36.0
2020-03-27,Alabama,41.0
2020-03-28,Alabama,51.0
2020-03-29,Alabama,63.0
2020-03-30,Alabama,72.0
2020-03-31,Alabama,87.0
2020-04-01,Alabama,103.0
2020-04-02,Alabama,132.0
2020-04-03,Alabama,177.0
2020-04-04,Alabama,210.0
2020-04-05,Alabama,250.0
2020-04-06,Alabama,299.0
2020-04-07,Alabama,357.0
2020-04-08,Alabama,410.0
2020-04-09,Alabama,506.0
2020-04-10,Alabama,584.0
2020-04-11,Alabama,673.0
2020-04-12,Alabama,782.0
2020-04-13,Alabama,858.0
2020-04-14,Alabama,948.0
2020-04-15,Alabama,1016.0
2020-04-16,Alabama,1124.0
2020-04-17,Alabama,1224.0
2020-04-18,Alabama,1303.0
2020-04-19,Alabama,1393.0
2020-04-20,Alabama,1489.0
2020-04-21,Alabama,1600.0
2020-04-22,Alabama,1726.0
2020-04-23,Alabama,1843.0
2020-04-24,Alabama,1946.0
2020-04-25,Alabama,1987.0
2020-04-26,Alabama,2160.0
2020-04-27,Alabama,2241.0
2020-04-28,Alabama,2354.0
2020-04-29,Alabama,2451.0
2020-04-30,Alabama,2554.0
2020-05-01,Alabama,2667.0
2020-05-02,Alabama,2823.0
2020-05-03,Alabama,2965.0
2020-05-04,Alabama,3089.0
2020-05-05,Alabama,3251.0
2020-05-06,Alabama,3389.0
2020-05-07,Alabama,3567.0
2020-05-08,Alabama,3739.0
2020-05-09,Alabama,3892.0
2020-05-10,Alabama,4019.0
2020-05-11,Alabama,4169.0
2020-05-12,Alabama,4330.0
2020-05-13,Alabama,4465.0
2020-05-14,Alabama,4670.0
2020-05-15,Alabama,4822.0
2020-05-16,Alabama,4986.0
2020-05-17,Alabama,5063.0
2020-05-18,Alabama,5234.0
2020-05-19,Alabama,5395.0
2020-05-20,Alabama,5727.0
2020-05-21,Alabama,5865.0
2020-05-22,Alabama,7951.0
2020-05-23,Alabama,7951.0
2020-05-24,Alabama,7951.0
2020-05-25,Alabama,7951.0
2020-05-26,Alabama,7951.0
2020-05-27,Alabama,7951.0
2020-05-28,Alabama,9355.0
2020-05-29,Alabama,9355.0
2020-05-30,Alabama,9355.0
2020-05-31,Alabama,9355.0
2020-06-01,Alabama,9355.0
2020-06-02,Alabama,9355.0
2020-06-03,Alabama,11395.0
2020-06-04,Alabama,11395.0
2020-06-05,Alabama,11395.0
2020-06-06,Alabama,11395.0
2020-06-07,Alabama,11395.0
2020-06-08,Alabama,11395.0
2020-06-09,Alabama,11395.0
2020-06-10,Alabama,13508.0
2020-06-11,Alabama,13508.0
2020-06-12,Alabama,13508.0
2020-06-13,Alabama,13508.0
2020-06-14,Alabama,13508.0
2020-06-15,Alabama,13508.0
2020-06-16,Alabama,13508.0
2020-06-17,Alabama,15974.0
2020-06-18,Alabama,15974.0
2020-06-19,Alabama,15974.0
2020-06-20,Alabama,15974.0
2020-06-21,Alabama,15974.0
2020-06-22,Alabama,15974.0
2020-06-23,Alabama,15974.0
2020-06-24,Alabama,18866.0
2020-06-25,Alabama,18866.0
2020-06-26,Alabama,18866.0
2020-06-27,Alabama,18866.0
2020-06-28,Alabama,18866.0
2020-06-29,Alabama,18866.0
2020-06-30,Alabama,18866.0
2020-07-01,Alabama,18866.0
2020-07-02,Alabama,22082.0
2020-07-03,Alabama,22082.0
2020-07-04,Alabama,22082.0
2020-07-05,Alabama,22082.0
2020-07-06,Alabama,22082.0
2020-07-07,Alabama,22082.0
2020-07-08,Alabama,22082.0
2020-07-09,Alabama,25783.0
2020-07-10,Alabama,25783.0
2020-07-11,Alabama,25783.0
2020-07-12,Alabama,25783.0
2020-07-13,Alabama,25783.0
2020-07-14,Alabama,25783.0
2020-07-15,Alabama,29736.0
2020-07-16,Alabama,29736.0
2020-07-17,Alabama,29736.0
2020-07-18,Alabama,29736.0
2020-07-19,Alabama,29736.0
2020-01-22,Alaska,0.0
2020-01-23,Alaska,0.0
2020-01-24,Alaska,0.0
2020-01-25,Alaska,0.0
2020-01-26,Alaska,0.0
2020-01-27,Alaska,0.0
2020-01-28,Alaska,0.0
2020-01-29,Alaska,0.0
2020-01-30,Alaska,0.0
2020-01-31,Alaska,0.0
2020-02-01,Alaska,0.0
2020-02-02,Alaska,0.0
2020-02-03,Alaska,0.0
2020-02-04,Alaska,0.0
2020-02-05,Alaska,0.0
2020-02-06,Alaska,0.0
2020-02-07,Alaska,0.0
2020-02-08,Alaska,0.0
2020-02-09,Alaska,0.0
2020-02-10,Alaska,0.0
2020-02-11,Alaska,0.0
2020-02-12,Alaska,0.0
2020-02-13,Alaska,0.0
2020-02-14,Alaska,0.0
2020-02-15,Alaska,0.0
2020-02-16,Alaska,0.0
2020-02-17,Alaska,0.0
2020-02-18,Alaska,0.0
2020-02-19,Alaska,0.0
2020-02-20,Alaska,0.0
2020-02-21,Alaska,0.0
2020-02-22,Alaska,0.0
2020-02-23,Alaska,0.0
2020-02-24,Alaska,0.0
2020-02-25,Alaska,0.0
2020-02-26,Alaska,0.0
2020-02-27,Alaska,0.0
2020-02-28,Alaska,0.0
2020-02-29,Alaska,0.0
2020-03-01,Alaska,0.0
2020-03-02,Alaska,0.0
2020-03-03,Alaska,0.0
2020-03-04,Alaska,0.0
2020-03-05,Alaska,0.0
2020-03-06,Alaska,0.0
2020-03-07,Alaska,0.0
2020-03-08,Alaska,0.0
2020-03-09,Alaska,0.0
2020-03-10,Alaska,0.0
2020-03-11,Alaska,0.0
2020-03-12,Alaska,0.0
2020-03-13,Alaska,0.0
2020-03-14,Alaska,0.0
2020-03-15,Alaska,0.0
2020-03-16,Alaska,0.0
2020-03-17,Alaska,0.0
2020-03-18,Alaska,0.0
2020-03-19,Alaska,0.0
2020-03-20,Alaska,0.0
2020-03-21,Alaska,0.0
2020-03-22,Alaska,1.0
2020-03-23,Alaska,1.0
2020-03-24,Alaska,2.0
2020-03-25,Alaska,3.0
2020-03-26,Alaska,5.0
2020-03-27,Alaska,6.0
2020-03-28,Alaska,10.0
2020-03-29,Alaska,13.0
2020-03-30,Alaska,17.0
2020-03-31,Alaska,19.0
2020-04-01,Alaska,23.0
2020-04-02,Alaska,27.0
2020-04-03,Alaska,31.0
2020-04-04,Alaska,35.0
2020-04-05,Alaska,40.0
2020-04-06,Alaska,44.0
2020-04-07,Alaska,51.0
2020-04-08,Alaska,56.0
2020-04-09,Alaska,61.0
2020-04-10,Alaska,66.0
2020-04-11,Alaska,72.0
2020-04-12,Alaska,66.0
2020-04-13,Alaska,85.0
2020-04-14,Alaska,98.0
2020-04-15,Alaska,106.0
2020-04-16,Alaska,110.0
2020-04-17,Alaska,128.0
2020-04-18,Alaska,147.0
2020-04-19,Alaska,153.0
2020-04-20,Alaska,161.0
2020-04-21,Alaska,168.0
2020-04-22,Alaska,196.0
2020-04-23,Alaska,209.0
2020-04-24,Alaska,208.0
2020-04-25,Alaska,217.0
2020-04-26,Alaska,217.0
2020-04-27,Alaska,218.0
2020-04-28,Alaska,228.0
2020-04-29,Alaska,240.0
2020-04-30,Alaska,252.0
2020-05-01,Alaska,254.0
2020-05-02,Alaska,261.0
2020-05-03,Alaska,262.0
2020-05-04,Alaska,263.0
2020-05-05,Alaska,277.0
2020-05-06,Alaska,284.0
2020-05-07,Alaska,291.0
2020-05-08,Alaska,305.0
2020-05-09,Alaska,318.0
2020-05-10,Alaska,324.0
2020-05-11,Alaska,328.0
2020-05-12,Alaska,334.0
2020-05-13,Alaska,338.0
2020-05-14,Alaska,339.0
2020-05-15,Alaska,343.0
2020-05-16,Alaska,344.0
2020-05-17,Alaska,344.0
2020-05-18,Alaska,345.0
2020-05-19,Alaska,348.0
2020-05-20,Alaska,352.0
2020-05-21,Alaska,356.0
2020-05-22,Alaska,356.0
2020-05-23,Alaska,358.0
2020-05-24,Alaska,358.0
2020-05-25,Alaska,361.0
2020-05-26,Alaska,362.0
2020-05-27,Alaska,364.0
2020-05-28,Alaska,366.0
2020-05-29,Alaska,367.0
2020-05-30,Alaska,368.0
2020-05-31,Alaska,368.0
2020-06-01,Alaska,368.0
2020-06-02,Alaska,371.0
2020-06-03,Alaska,373.0
2020-06-04,Alaska,376.0
2020-06-05,Alaska,380.0
2020-06-06,Alaska,382.0
2020-06-07,Alaska,382.0
2020-06-08,Alaska,384.0
2020-06-09,Alaska,389.0
2020-06-10,Alaska,392.0
2020-06-11,Alaska,397.0
2020-06-12,Alaska,403.0
